title,category,price_gbp,rating,in_stock,price_inr
It's Only the Himalayas,Travel,45.17,2,True,4765.44
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,True,5214.86
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,True,5155.78
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,True,3897.17
Under the Tuscan Sun,Travel,37.33,3,True,3938.31
A Summer In Europe,Travel,44.34,2,True,4677.87
The Great Railway Bazaar,Travel,30.54,1,True,3221.97
A Year in Provence (Provence #1),Travel,56.88,4,True,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,True,2448.66
Neither Here nor There: Travels in Europe,Travel,38.95,3,True,4109.23
"1,000 Places to See Before You Die",Travel,26.08,5,True,2751.44
Sharp Objects,Mystery,47.82,4,True,5045.01
"In a Dark, Dark Wood",Mystery,19.63,1,True,2070.96
The Past Never Ends,Mystery,56.5,4,True,5960.75
A Murder in Time,Mystery,16.64,1,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,True,4652.55
The Last Mile (Amos Decker #2),Mystery,54.21,2,True,5719.16
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,True,1127.79
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,True,5100.92
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,True,1765.02
Poisonous (Max Revere Novels #3),Mystery,26.8,3,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,True,5734.98
Most Wanted,Mystery,35.28,3,True,3722.04
Hide Away (Eve Duncan #20),Mystery,11.84,1,True,1249.12
Boar Island (Anna Pigeon #19),Mystery,59.48,3,True,6275.14
The Widow,Mystery,27.26,2,True,2875.93
Playing with Fire,Mystery,13.71,3,True,1446.41
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,True,2676.54
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,True,2203.9
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,True,2616.4
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,True,4049.09
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,True,2431.78
The Exiled,Mystery,43.45,3,True,4583.98
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,True,2026.66
Tipping the Velvet,Historical Fiction,53.74,1,True,5669.57
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,True,3132.3
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,True,5858.42
The House by the Lake,Historical Fiction,36.95,1,True,3898.23
Mrs. Houdini,Historical Fiction,30.25,5,True,3191.38
The Marriage of Opposites,Historical Fiction,28.08,4,True,2962.44
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,True,4836.12
"Love, Lies and Spies",Historical Fiction,20.55,2,True,2168.02
A Paris Apartment,Historical Fiction,39.01,4,True,4115.55
Lilac Girls,Historical Fiction,17.28,2,True,1823.04
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,True,1753.41
The Invention of Wings,Historical Fiction,37.34,1,True,3939.37
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,True,3478.34
The Passion of Dolssa,Historical Fiction,28.32,5,True,2987.76
Girl With a Pearl Earring,Historical Fiction,26.77,1,True,2824.24
Voyager (Outlander #3),Historical Fiction,21.07,5,True,2222.89
The Red Tent,Historical Fiction,35.66,5,True,3762.13
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,True,5860.52
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,True,5225.42
Girl in the Blue Coat,Historical Fiction,46.83,2,True,4940.56
Between Shades of Gray,Historical Fiction,20.79,5,True,2193.34
While You Were Mine,Historical Fiction,41.32,5,True,4359.26
The Secret Healer,Historical Fiction,34.56,3,True,3646.08
Starlark,Historical Fiction,25.83,3,True,2725.06
Lost Among the Living,Historical Fiction,27.7,4,True,2922.35
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,True,5516.6
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1,True,1717.54
This One Summer,Sequential Art,19.49,4,True,2056.19
The Nameless City (The Nameless City #1),Sequential Art,38.16,4,True,4025.88
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2,True,5384.72
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,3,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,5,True,1435.86
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,1,True,2001.33
Patience,Sequential Art,10.16,3,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,4,True,1628.92
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,1,True,5107.25
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,2,True,4949.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,3,True,4811.85
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2,True,2101.56
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,2,True,3077.44
I am a Hero Omnibus Volume 1,Sequential Art,54.63,3,True,5763.46
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2,True,2332.6
Danganronpa Volume 1,Sequential Art,51.99,4,True,5484.95
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,4,True,3873.96
Camp Midnight,Sequential Art,17.08,4,True,1801.94
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,2,True,4000.56
The Shadow Hero (The Shadow Hero),Sequential Art,33.14,1,True,3496.27
